FIPS,State,County,Weighted_Mean_Score,F1_hardship,F2_geo_inacc,F3_urban_access,F4_alt_outlets,F5_retail_env
49031,Utah,Piute County,2.693079193,0.013352814,4.264600173,2.633235706,-1.033964451,7.588171723
2282,Alaska,Yakutat City and Borough,2.640707227,-1.207454733,-0.418269601,2.645456018,-0.83192887,13.01573332
2290,Alaska,Yukon-Koyukuk Census Area,2.638491511,3.921988224,3.721193028,1.390552075,-1.045254027,5.203978257
30069,Montana,Petroleum County,2.58904417,-0.699702681,3.714066094,2.754460059,-1.002891752,8.179289131
38063,North Dakota,Nelson County,2.559380216,-0.853373816,3.614312875,3.010588755,-1.023475156,8.048848423
31005,Nebraska,Arthur County,2.506936972,-1.629796741,3.87397111,2.78250587,-0.974019566,8.482024188
41069,Oregon,Wheeler County,2.391077969,0.939986169,4.306093221,2.505917056,-1.072130444,5.275523845
8111,Colorado,San Juan County,2.390396262,0.273254778,3.640331608,1.866259077,-0.948153712,7.120289557
2060,Alaska,Bristol Bay Borough,2.292452265,-0.25719209,1.768696337,2.034756824,-0.887200197,8.803200452
35021,New Mexico,Harding County,2.258719522,-0.192376888,4.216065797,2.52139697,-1.026774708,5.775286441
41021,Oregon,Gilliam County,2.244649581,0.23201418,1.801357767,2.259342338,0.607159477,6.323374141
2188,Alaska,Northwest Arctic Borough,2.210945938,4.774944555,1.685463975,-0.146632606,-0.855480013,5.596433781
2180,Alaska,Nome Census Area,2.061470155,4.455164902,0.538199252,0.26718851,-0.85731314,5.904111249
31091,Nebraska,Hooker County,2.026360454,-0.752111145,3.51682554,2.551871003,-0.991869355,5.807086226
32009,Nevada,Esmeralda County,2.018801824,0.009418984,3.970227945,2.320691761,-1.013413786,4.807084216
35033,New Mexico,Mora County,1.990089033,2.413915693,4.228087565,0.481725565,2.470562231,0.356154112
2164,Alaska,Lake and Peninsula Borough,1.973219937,3.573427552,3.937948644,0.778489289,-0.991681914,2.567916115
31085,Nebraska,Hayes County,1.909304475,-1.018210503,4.101153741,2.217524819,-0.965327305,5.211381625
2050,Alaska,Bethel Census Area,1.879747437,6.165177114,2.09329838,-0.858977959,-0.859628427,2.858868075
30059,Montana,Meagher County,1.866751203,0.17996798,3.968446401,1.994573833,-0.988981747,4.179749546
31171,Nebraska,Thomas County,1.828252115,-1.293506034,3.798442173,2.245679441,-0.949776213,5.340421206
51091,Virginia,Highland County,1.795183524,-0.065194374,3.68978066,1.531377038,1.684735308,2.135218986
46075,South Dakota,Jones County,1.786786022,-0.309023534,3.942324852,2.028609403,-0.973797689,4.245817079
48101,Texas,Cottle County,1.756674055,1.339339078,4.413512478,1.585197629,-1.010875005,2.456196097
31103,Nebraska,Keya Paha County,1.742892282,-0.909928976,3.527841551,2.329096984,-0.970355083,4.737806933
16025,Idaho,Camas County,1.73755468,-0.374291258,4.076066032,1.703850667,-0.939880032,4.222027993
16033,Idaho,Clark County,1.698086014,0.664595369,4.240860608,1.392785619,-0.956080974,3.148269449
48155,Texas,Foard County,1.67759374,0.891385415,3.942454598,1.659913716,-0.987624397,2.881839367
38041,North Dakota,Hettinger County,1.66744364,-0.936003811,3.605557214,2.294195952,-0.970553435,4.344022279
35003,New Mexico,Catron County,1.633217735,0.612516634,4.020646452,2.080149732,-1.027948908,2.480724765
13265,Georgia,Taliaferro County,1.623647943,2.651856439,3.731430231,1.126119565,-0.997873074,1.606706556
30109,Montana,Wibaux County,1.618699846,-0.773969416,4.057025392,2.108070264,-0.972729908,3.675102896
8023,Colorado,Costilla County,1.600640105,2.352947169,4.407276009,1.421745009,-1.041686566,0.862918902
8061,Colorado,Kiowa County,1.592422824,0.056601727,3.778558772,1.774642328,-0.962409084,3.314720377
31007,Nebraska,Banner County,1.58258212,-0.779145587,3.461506624,1.636406241,0.643860926,2.950282397
28119,Mississippi,Quitman County,1.564454548,3.294109511,4.014907178,0.269977027,0.147906793,0.095372232
31075,Nebraska,Grant County,1.55470819,-0.702562185,1.430700409,2.209530447,-0.904364867,5.740237146
48045,Texas,Briscoe County,1.553830122,0.097124062,4.16249271,1.753637218,-0.975688167,2.731584787
48229,Texas,Hudspeth County,1.51290523,1.788575119,4.41108706,1.111812739,-0.985021194,1.238072428
38033,North Dakota,Golden Valley County,1.50539916,-1.312874506,3.723745328,2.074162366,-0.938824774,3.980787387
46053,South Dakota,Gregory County,1.48267968,-0.353260105,0.456320694,1.850838381,0.998508684,4.460990748
2105,Alaska,Hoonah-Angoon Census Area,1.469326269,1.416732316,3.589169298,0.953715499,-0.92561396,2.312628193
48263,Texas,Kent County,1.454212248,-0.676189807,3.514589225,2.104276246,-0.964995904,3.293381478
21201,Kentucky,Robertson County,1.444054735,1.105087892,2.624664022,0.855694086,1.429495396,1.205332277
48443,Texas,Terrell County,1.426384087,0.015855865,3.943627793,1.520461717,-0.943017528,2.594992588
8053,Colorado,Hinsdale County,1.419806005,-1.070737435,-0.322893279,2.355876437,-0.853124993,6.989909293
31087,Nebraska,Hitchcock County,1.419510406,0.009728991,3.649025292,1.737123416,-0.958282629,2.659956958
8079,Colorado,Mineral County,1.401248718,-0.954121782,-0.36084072,2.096061423,1.02000301,5.205141661
38083,North Dakota,Sheridan County,1.395241008,0.280745758,3.200494429,1.930792454,-0.978568284,2.542740684
48447,Texas,Throckmorton County,1.384493394,-0.336322706,3.657904196,1.829266751,-0.955436061,2.72705479
48261,Texas,Kenedy County,1.359886259,1.240544101,3.700668108,1.120116763,-0.944765518,1.682867839
30011,Montana,Carter County,1.355116816,-1.227988467,3.738277844,1.886957469,-0.927083788,3.30542102
30079,Montana,Prairie County,1.307620626,-1.469250888,3.749983808,2.059668692,-0.938585204,3.13628672
48431,Texas,Sterling County,1.300778855,-0.829726617,3.777285932,1.588540211,-0.913403837,2.881198587
16061,Idaho,Lewis County,1.292940916,-0.110154972,2.999001431,1.58323179,-0.918968941,2.911595271
38029,North Dakota,Emmons County,1.287433713,-0.632977752,1.21962911,2.390144806,-0.931178214,4.391550617
30103,Montana,Treasure County,1.282170478,-0.502527883,4.032689289,1.789226745,-0.959634339,2.051098576
48081,Texas,Coke County,1.276122256,-0.161794658,3.757004193,1.861688499,-0.97398297,1.897696218
31009,Nebraska,Blaine County,1.25135809,-0.711167755,3.454803581,1.682245673,-0.920641669,2.751550622
46085,South Dakota,Lyman County,1.24074161,0.547216849,1.642850791,1.060421575,-0.845286338,3.798505175
16063,Idaho,Lincoln County,1.231302726,-0.235295024,3.811034582,0.639066237,1.013915771,0.927792062
35011,New Mexico,De Baca County,1.229278078,0.531746065,-0.159666781,1.184230073,2.586124176,2.003956855
2070,Alaska,Dillingham Census Area,1.224983131,3.779128385,1.816864149,-0.490360071,-0.813769106,1.833052296
46071,South Dakota,Jackson County,1.222515802,1.529800976,2.726215983,0.903103776,-0.905798412,1.859256685
46057,South Dakota,Hamlin County,1.219737054,-1.168863859,3.305039318,1.741717035,-0.903912331,3.124705107
48393,Texas,Roberts County,1.216253195,-1.492252862,3.048865378,1.64554399,-0.870637579,3.749747046
48385,Texas,Real County,1.194527248,0.605545842,4.111675522,1.57466762,-0.988910007,0.669657261
30037,Montana,Golden Valley County,1.191494074,0.157085817,3.876662793,1.467301886,-0.94959709,1.406016963
38043,North Dakota,Kidder County,1.161124639,-0.195023276,3.807700279,1.528476856,-0.940227255,1.604696591
35051,New Mexico,Sierra County,1.160101318,2.198162837,1.277851061,0.28972067,1.811436452,0.223335568
49017,Utah,Garfield County,1.147455654,-0.79077205,1.882228194,1.617923128,-0.481979013,3.509878009
27087,Minnesota,Mahnomen County,1.146734532,0.684663612,0.806294489,0.53438239,1.863867656,1.844464512
8033,Colorado,Dolores County,1.114607797,-0.155663616,3.785201065,1.383481524,-0.926291944,1.486311956
31183,Nebraska,Wheeler County,1.107978629,-1.085978145,3.277025493,1.713876594,-0.907556342,2.542525543
38103,North Dakota,Wells County,1.107243102,-1.252264833,2.307206502,2.084815517,-0.911372479,3.307830801
46095,South Dakota,Mellette County,1.104880934,2.638540115,1.577930712,0.261150137,-0.086214204,1.132997909
48301,Texas,Loving County,1.093119383,-0.85421805,3.232367015,1.427911712,-0.883891302,2.543427538
49033,Utah,Rich County,1.074850279,-1.066476647,3.719673527,1.402539461,-0.888312417,2.20682747
22107,Louisiana,Tensas Parish,1.068052646,2.405574853,2.280484365,0.763553412,-0.919009878,0.80966048
35023,New Mexico,Hidalgo County,1.062835951,1.213579814,2.730660307,1.013817397,-0.910867738,1.266989975
6049,California,Modoc County,1.061610646,0.142448177,1.695876864,0.526826677,1.856136144,1.08676537
38091,North Dakota,Steele County,1.056755542,-1.450390459,2.526647419,1.905054503,-0.891167728,3.193633973
1131,Alabama,Wilcox County,1.050842422,2.710288296,1.294233102,0.888648827,-0.915122659,1.276164545
46089,South Dakota,McPherson County,1.041057106,-0.726258577,1.835644152,2.226857314,-0.937603791,2.80664643
48311,Texas,McMullen County,1.040427656,-1.183593243,3.310462466,1.90969654,-0.929394297,2.094966814
46063,South Dakota,Harding County,1.039474964,-1.406888453,3.432579976,1.405547161,-0.865860684,2.631996819
54075,West Virginia,Pocahontas County,1.038292467,0.572086926,1.387920333,0.981985453,1.042377279,1.207092342
46003,South Dakota,Aurora County,1.036909032,-1.074394922,2.174901888,1.770978894,-0.881380741,3.19444004
54015,West Virginia,Clay County,1.034840952,2.238372479,0.008765911,0.457071265,1.496010801,0.973984305
31123,Nebraska,Morrill County,1.033957423,-0.229132287,1.452199991,1.135937514,1.026068228,1.784713668
31077,Nebraska,Greeley County,1.032948308,-1.001974261,2.217070478,1.935521574,-0.904925481,2.919049229
48295,Texas,Lipscomb County,1.030169308,-0.607787618,3.599396271,1.309243538,-0.895250252,1.745244601
46119,South Dakota,Sully County,1.028351878,-1.565184738,3.320264521,1.709964122,-0.890686848,2.567402335
28011,Mississippi,Bolivar County,1.023931979,2.412934192,2.157800349,-1.054002867,1.922622954,-0.319694734
31015,Nebraska,Boyd County,1.011532932,-0.869783415,1.017905544,2.195598881,-0.902270944,3.616214593
31049,Nebraska,Deuel County,1.006887789,-0.357033188,0.37628985,2.070748898,-0.889474918,3.833908301
48359,Texas,Oldham County,1.004642992,-0.703448585,3.645557866,1.158929812,-0.876301712,1.79847758
38039,North Dakota,Griggs County,0.99747233,-0.919244074,0.531746759,2.206174668,-0.886037508,4.054721805
46007,South Dakota,Bennett County,0.995666165,1.792258287,3.072301277,0.248739258,-0.861787204,0.726819208
2158,Alaska,Kusilvak Census Area,0.992648931,2.908789874,0.299974034,0.508943666,0.251586434,0.993950648
46111,South Dakota,Sanborn County,0.990322417,-0.802029616,3.45536667,1.519294301,-0.907723089,1.68670382
1105,Alabama,Perry County,0.987203284,2.957938874,1.257482009,0.345454198,-0.081509678,0.456651017
13061,Georgia,Clay County,0.980507775,2.923631425,-0.698976841,0.957362429,-0.10899226,1.829514121
46073,South Dakota,Jerauld County,0.979344893,-0.856477112,3.38463135,1.754684366,-0.930480659,1.544366518
20025,Kansas,Clark County,0.979264803,-0.856507316,3.661379497,1.593508153,-0.92099347,1.41893715
41063,Oregon,Wallowa County,0.973058658,0.061525738,0.240095006,0.76937824,2.379696926,1.414597382
27125,Minnesota,Red Lake County,0.971259382,-0.811556038,3.421163151,1.391968427,-0.892293122,1.747014494
31107,Nebraska,Knox County,0.966800875,-0.775320692,0.988511135,1.735536324,-0.093269476,2.978547083
31117,Nebraska,McPherson County,0.965322351,-1.047027149,3.655450943,1.262483599,-0.875064938,1.8307693
54013,West Virginia,Calhoun County,0.962095963,1.320514611,1.269048427,0.848164053,1.20743972,0.165313002
38011,North Dakota,Bowman County,0.959530443,-1.613810903,1.750579972,1.964328564,-0.86923499,3.565789573
35057,New Mexico,Torrance County,0.958177716,2.031179219,1.760357829,0.423906491,0.693251223,-0.117806182
